"title","price","description","location","image","url"
"Ashwagandha Supplement for Cortisol, Stamina 1000mg -60tabs","KSh 3,999","Organic Ashwagandha 1000 mg - 60 Capsules Pure Organic Ashwagandha Powder and Root Extract - Stress...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/69325510_MzAwLTQxMS1mMjFiZGIxOGJjLTE.webp","https://jiji.co.ke/nairobi-central/supplements/ashwagandha-supplement-for-cortisol-stamina-1000mg-60tabs-kLXNk4gLSaBGXq5v95LgKMP.html?page=1&pos=11&cur_pos=11&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=10"
"Drain Cleaner Tolsen Metal Drain Unclogger Snake 3m /5m/ 10m","KSh 1,497","Tolsen Drain Cleaner - 50100 - 5.5mm by 3 metres long = 1500shs
Tolsen Drain Cleaner - 50101 - 9mm...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/68828760_MzAwLTMwMC1kMmMyN2U0ZTEwLTE.webp","https://jiji.co.ke/nairobi-central/hand-and-power-tools/drain-cleaner-tolsen-metal-drain-unclogger-snake-3m-5m-10m-uLGdScdbfKLuOvkQpkEvBCW7.html?page=1&pos=12&cur_pos=12&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=11"
"Carotone Skin Perfecting Set- Yellow Bone Colour","KSh 4,499","Carotone skin Perfecting set enriched with carrot oil.
The set contains
• Body Lotion
•Face...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/51072266_MzAwLTI5OC1jYThjNTFhM2IwLTE.webp","https://jiji.co.ke/nairobi-central/skin-care/carotone-skin-perfecting-set-yellow-bone-colour-kSqzQks7zMl2hojrnW0Ojpzc.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=12"
"Wall Plugs Expand Nails With Screws Fisher Plugs 6mm, 8mm,10","KSh 349","50 pairs premium wall plugs with screws
expand nails with screw
premium best durable quality...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/46809006_MzAwLTMwMC1iZTUxMzU4ZjBiLTE.webp","https://jiji.co.ke/nairobi-central/hardware-and-fasteners/wall-plugs-expand-nails-with-screws-fisher-plugs-6mm-8mm-10-aIn2kCFhXOENYMrmJoGWCNri.html?page=1&pos=14&cur_pos=14&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=13"
"Stanley Try Square 12"" Inch Angle Try Square Professional","KSh 2,497","Stanley Try Square 300mm/12""
100% Authentic
Size: 300mm / 12""
Code: 46536-8
Try square with stamped...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/60112644_MzAwLTMwMC00MWExMDIyMjdlLTE.webp","https://jiji.co.ke/nairobi-central/measuring-and-layout-tools/stanley-try-square-12-inch-angle-try-square-professional-z0kxCt0dfPQcm5uvvNMwoqkU.html?page=1&pos=15&cur_pos=15&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=14"
"Pressure Sprayer Coke Bottle Attachment Foam Manual Air Pump Sprayer","KSh 299","Household Manual Sprayer, Household Sprinkler, Watering can, car wash Pot
Features:
Material: Copper...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/78987269_MzAwLTMwMC04N2NhNjUwODM3.webp","https://jiji.co.ke/nairobi-central/farm-machinery-equipment/pressure-sprayer-coke-bottle-attachment-foam-manual-air-pump-sprayer-rS36tGSIKI3zZQjFFfNIovp.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=15"
"Precision Screwdrivers Set 132-in-1 Magnetic Bits PREMIUM","KSh 2,997","132 in 1 Screwdriver Kit YDL-21132
 • Efficient Organization: The three-layer box design provides...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/73224996_MzAwLTMwMC0zNzJkZDYyN2U3.webp","https://jiji.co.ke/nairobi-central/hand-and-power-tools/precision-screwdrivers-set-132-in-1-magnetic-bits-premium-gk7eTZHvqX3QrE4UMjZFYSXR.html?page=1&pos=17&cur_pos=17&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=16"
"Casio FX-9750GIII Graphing Calculator FX9750 G3 TI-84 Plus","KSh 13,997","With Natural Textbook DisplayTM and an intuitive icon menu, students will find the fx-9750GIII...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/50937155_MzAwLTQwMC1mNTUyNjQ5NzQwLTE.webp","https://jiji.co.ke/nairobi-central/stationery/casio-fx-9750giii-graphing-calculator-fx9750-g3-ti-84-plus-wKceY7h3aYYSQzG26NaWtf0x.html?page=1&pos=18&cur_pos=18&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=17"
"Glass Cutter Glass Cutter Ingco + Free 6pcs Extra Blades","KSh 599","Ingco Glass cutter + free 6pcs wheels blade. 
Heavy Duty and good quality 
Total cutting...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/45864803_MzAwLTUzNC0yYjBiYzQ0NmMxLTE.webp","https://jiji.co.ke/nairobi-central/hand-and-power-tools/glass-cutter-glass-cutter-ingco-free-6pcs-extra-blades-i0r0oxr7hMmCv8I3wrBEVXqs.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=18"
"Loren Shower Ultra Lorenzetti Instant Showers Loren Shower","KSh 5,497","Lorenzetti Loren Shower Ultra - *Elegance is its 2nd name.* New & Sizzling Hot! 
The Loren Shower...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/54573802_MzAwLTMwMC04YTZiYmQxYmRlLTE.webp","https://jiji.co.ke/nairobi-central/plumbing-and-water-supply/loren-shower-ultra-lorenzetti-instant-showers-loren-shower-gqtbVHH3ugXgSmSBvPpagc8G.html?page=1&pos=20&cur_pos=20&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=19"
